File,Energy
Si1B1Mo4P7-1860_POSCAR, -95.334
B4Mo4P1-7243_POSCAR, -76.735
Si2Mo1P4-6660_POSCAR, -44.079
Si5B4-754_POSCAR, -49.772
Mo3P6-5373_POSCAR, -67.749
B2Mo4P2-6201_POSCAR, -69.362
B3Mo6P1-5493_POSCAR, -94.075
Si1B13-6825_POSCAR, -91.509
Si4B2-6556_POSCAR, -32.655
Si2P8-7177_POSCAR, -53.331
Si6Mo3P6-1068_POSCAR, -98.215
Si3B3P6-3559_POSCAR, -67.517
Si2P12-6656_POSCAR, -72.573
Mo7P4-5458_POSCAR, -101.81
Si6P5-2041_POSCAR, -58.555
Si4Mo1P5-7136_POSCAR, -59.224
Si3B4Mo9-3480_POSCAR, -143.74
Mo4P8-2738_POSCAR, -89.646
Si3B4Mo8-4395_POSCAR, -133.69
Si4B2P4-2748_POSCAR, -55.517
B6P6-129_POSCAR, -74.023
Si3Mo1P5-3692_POSCAR, -54.132
B4Mo10P2-1142_POSCAR, -152.64
Si4Mo2P6-5383_POSCAR, -76.539
B5Mo4-5534_POSCAR, -79.032
Si4P4-6380_POSCAR, -41.504
Si3Mo1P8-6269_POSCAR, -68.606
Si2B6Mo12-1133_POSCAR, -183.76
Si3B5-2480_POSCAR, -46.919
Mo5P6-3872_POSCAR, -90.746
B5Mo12P3-6192_POSCAR, -183.51
Si3B6Mo5-2455_POSCAR, -110.67
B4-4589_POSCAR, -24.953
Si7B5P8-6371_POSCAR, -113.53
B4-659_POSCAR, -24.981
Si2Mo2P1-2776_POSCAR, -38.889
Mo3P11-4664_POSCAR, -91.798
Mo2P3-1450_POSCAR, -38.846
Si4B3P5-5651_POSCAR, -69.537
Mo8P12-1185_POSCAR, -156.46
Si1Mo2P7-3910_POSCAR, -66.008
Si7B9-5437_POSCAR, -91.833
Mo4P16-3780_POSCAR, -132.75
Si4B2P3-1509_POSCAR, -50.824
Si4Mo4-707_POSCAR, -67.573
B2Mo13-3166_POSCAR, -152.57
Si2P2-156_POSCAR, -21.172
Si1Mo2P1-159_POSCAR,  -34.02
B2Mo6-2221_POSCAR, -77.306
B4Mo4P2-3045_POSCAR, -83.275
B2Mo7P9-1718_POSCAR,  -141.3
Si3Mo4P5-4735_POSCAR, -90.211
Si5Mo2P6-3111_POSCAR, -80.217
Si3Mo6P6-3188_POSCAR, -117.47
Si1B5Mo8P2-4508_POSCAR, -139.94
Si5P1-7263_POSCAR, -31.487
Mo2P4-655_POSCAR, -44.023
Si2Mo2P6-1515_POSCAR, -66.042
B5Mo4P3-6822_POSCAR, -94.545
Mo3P4-3632_POSCAR, -55.908
Si2Mo1P7-3435_POSCAR, -58.953
B4Mo5P3-2337_POSCAR, -99.562
Mo3P1-5178_POSCAR, -38.384
Si2B3-6409_POSCAR, -28.815
Si6Mo6-5932_POSCAR, -100.81
Si5B5-2950_POSCAR, -56.196
Si4B4P4-174_POSCAR, -71.871
B2P4-3551_POSCAR, -34.618
Si3Mo2P3-2217_POSCAR, -54.814
Si2Mo2P2-4265_POSCAR, -44.662
Si5B2Mo7-1453_POSCAR,  -118.1
Si7Mo4P5-5449_POSCAR, -109.12
B3Mo11P4-4749_POSCAR, -164.98
Si1B2Mo3-3317_POSCAR, -51.988
Si7B5P6-7181_POSCAR, -105.96
Si2Mo2P5-4873_POSCAR, -59.747
Si1-559_POSCAR,  -5.121
Si3Mo2-5655_POSCAR, -39.084
B4Mo12-1939_POSCAR, -159.29
Si8P8-144_POSCAR,  -83.35
Si3Mo2P5-6633_POSCAR, -65.157
Si2Mo6P2-973_POSCAR, -89.192
Si1B2Mo2P1-5841_POSCAR, -46.891
Mo5P9-6426_POSCAR, -105.06
Si3B3P3-4678_POSCAR, -51.859
Si4P7-5236_POSCAR, -57.789
Si11B5-3344_POSCAR, -88.997
B3Mo5P2-6535_POSCAR, -87.117
Si2B2Mo3-3541_POSCAR, -58.738
Si6Mo5-6197_POSCAR, -88.538
Si5P6-2511_POSCAR, -57.984
Si5B4P5-974_POSCAR, -79.212
Si5Mo3P4-1556_POSCAR, -80.832
Si1Mo3P4-3483_POSCAR, -61.329
Si1P5-678_POSCAR, -31.723
B2Mo5P2-5473_POSCAR, -81.198
Si4B3Mo5-1202_POSCAR,   -98.1
Si2B3Mo3-6223_POSCAR, -64.625
Si6-1949_POSCAR, -31.181
Si3B4Mo11P2-1661_POSCAR, -177.39
Si2B2Mo3-4306_POSCAR, -59.058
Si2Mo2P2-4470_POSCAR, -44.711
Mo1P3-451_POSCAR,   -27.0
Si5P5-4672_POSCAR, -52.949
Si1B1Mo2-4891_POSCAR, -34.802
Si4Mo12-481_POSCAR, -153.49
Si6P4-2739_POSCAR, -52.005
B2Mo6P2-1444_POSCAR, -93.308
Si9B3-2919_POSCAR, -63.357
Si4Mo8-1350_POSCAR, -110.44
Si1P2-6416_POSCAR, -15.148
Si4B6-3688_POSCAR, -56.983
Si6B4Mo8-4440_POSCAR, -148.88
Si4Mo3P4-5953_POSCAR, -77.463
Si3P3-5166_POSCAR, -31.717
Si5Mo2P5-5329_POSCAR, -76.126
Si1B6Mo6P3-6008_POSCAR, -129.92
Si3B2Mo3P2-5929_POSCAR, -73.934
Si1P3-5202_POSCAR, -21.362
Si5B2Mo1P4-6935_POSCAR, -70.925
Si1B1Mo2P1-2264_POSCAR, -40.456
Si2Mo2P6-3808_POSCAR, -64.999
Si2B3P4-6147_POSCAR, -49.054
Mo2P4-4617_POSCAR, -46.348
Si1B4Mo1-6664_POSCAR, -42.071
P18-3860_POSCAR, -86.522
Mo3P6-6690_POSCAR, -66.914
Si6B3Mo9-4437_POSCAR, -152.91
Si3B6Mo2-2809_POSCAR, -76.941
Si5Mo3-396_POSCAR, -61.009
Si4B3Mo8-5540_POSCAR, -130.65
Si1Mo2P2-739_POSCAR, -38.477
B4Mo4P4-2988_POSCAR, -94.038
Si2B11-7257_POSCAR, -79.633
Si2B2Mo3P2-1218_POSCAR, -68.699
Mo2P10-3922_POSCAR, -77.464
Si7Mo6-1052_POSCAR, -105.08
Si5B5Mo6-2078_POSCAR, -127.82
Si2P2-8_POSCAR, -21.333
B8P4-477_POSCAR, -75.025
Si2Mo1P9-1814_POSCAR, -70.459
Si2Mo2P4-3276_POSCAR, -53.799
B4Mo4-6914_POSCAR, -72.139
Si2Mo2P2-4179_POSCAR, -45.521
Si7B3-6230_POSCAR, -55.228
Mo4P6-2293_POSCAR, -78.506
Si2Mo2-1730_POSCAR, -32.756
B2Mo1P1-6886_POSCAR, -29.662
Si3Mo1-6014_POSCAR, -27.114
Si8P4-531_POSCAR, -63.683
Si8Mo6P4-650_POSCAR, -131.16
Si2B2Mo4P2-5608_POSCAR, -80.428
Mo2P10-4788_POSCAR, -77.946
B2Mo7P3-3274_POSCAR, -108.78
Si2Mo2P3-3547_POSCAR, -50.154
Si4B2P4-7148_POSCAR, -56.708
Si5B4Mo9-3737_POSCAR, -153.75
Si1B4Mo4-6738_POSCAR,  -77.47
B2Mo13P3-744_POSCAR, -172.64
B2Mo5P5-4244_POSCAR, -97.144
Si4Mo2P4-4467_POSCAR,  -64.75
Si6Mo4-2119_POSCAR, -79.287
P6-2643_POSCAR, -32.092
Mo8P6-3970_POSCAR, -123.84
B3Mo7-4028_POSCAR,  -96.87
Si2B1Mo5P2-3489_POSCAR, -83.937
Mo3P3-248_POSCAR, -50.664
Si3B2-6864_POSCAR, -27.397
Si3Mo9P5-1023_POSCAR, -145.16
Si3Mo2P3-5328_POSCAR, -54.297
B3Mo3P2-3640_POSCAR, -64.878
Si1Mo7P8-6117_POSCAR, -129.53
Si1P2-6026_POSCAR, -15.207
Si4P3-4035_POSCAR, -37.698
Mo4P4-4843_POSCAR, -69.224
Si5P2-1265_POSCAR, -36.893
Si7Mo4-2352_POSCAR, -83.487
B4Mo8P3-1704_POSCAR, -133.93
Si3Mo4P7-6149_POSCAR, -99.046
Mo2P10-5484_POSCAR, -76.924
B2Mo5P2-2171_POSCAR, -80.771
Si7B1-7009_POSCAR, -42.444
Si2B1Mo7P6-870_POSCAR, -129.77
Si1B1Mo2P1-5023_POSCAR, -39.707
Si2B4-448_POSCAR, -35.771
Mo2P8-1187_POSCAR, -65.505
Si5B4P3-2588_POSCAR, -68.106
Si2P2-1483_POSCAR, -21.424
Si2B1P4-2876_POSCAR, -38.378
Si4Mo2P4-1260_POSCAR,  -65.06
B3Mo2-4023_POSCAR, -42.609
Mo4P6-4152_POSCAR, -77.772
Si8Mo7-6233_POSCAR, -122.87
Si3B4Mo7P2-2094_POSCAR, -131.73
Si2B7Mo3-1712_POSCAR, -90.033
Si2B1Mo6-2852_POSCAR, -84.511
Mo2P4-4227_POSCAR, -44.807
Si3B3Mo10P2-6493_POSCAR, -157.99
Si2P6-1524_POSCAR, -42.751
Mo4P6-4381_POSCAR,   -79.3
Si7B3-6059_POSCAR, -53.543
Si3P7-6064_POSCAR, -53.119
Mo2P10-4750_POSCAR, -75.506
Si1B2Mo4P3-3279_POSCAR, -81.061
B2Mo6P2-5430_POSCAR, -91.325
Si2Mo4P4-2612_POSCAR, -78.896
Mo6P6-2515_POSCAR, -103.46
Mo4P6-7172_POSCAR, -76.567
Si7P5-1337_POSCAR, -62.835
Mo3P9-1801_POSCAR, -82.647
Si2B3Mo3P2-4531_POSCAR, -75.149
Mo2P8-2323_POSCAR, -65.732
B2Mo2P2-4312_POSCAR, -47.636
Si4Mo2P4-5583_POSCAR, -64.389
Si2B2Mo4P2-1166_POSCAR, -81.053
Si1B2Mo6P4-5901_POSCAR, -107.22
Si2B3P3-2405_POSCAR, -48.466
Si3B4Mo5-2274_POSCAR, -101.05
Si6B5P9-2299_POSCAR, -114.81
Si6B2P4-6992_POSCAR, -67.059
B2Mo4P3-1934_POSCAR, -75.381
Si6B2P2-3593_POSCAR, -54.976
Si8Mo4-7290_POSCAR, -90.866
