id,composition,energy,structure
./Si1B1Mo4P7-1860_POSCAR,B1 Mo4 P7 Si1,-1239.3420,./Si1B1Mo4P7-1860_POSCARPOSCAR
./B4Mo4P1-7243_POSCAR,B4 Mo4 P1,-690.6150,./B4Mo4P1-7243_POSCARPOSCAR
./Si2Mo1P4-6660_POSCAR,Mo1 P4 Si2,-308.5530,./Si2Mo1P4-6660_POSCARPOSCAR
./Si5B4-754_POSCAR,B4 Si5,-447.9480,./Si5B4-754_POSCARPOSCAR
./Mo3P6-5373_POSCAR,Mo3 P6,-609.7410,./Mo3P6-5373_POSCARPOSCAR
./B2Mo4P2-6201_POSCAR,B2 Mo4 P2,-554.8960,./B2Mo4P2-6201_POSCARPOSCAR
./B3Mo6P1-5493_POSCAR,B3 Mo6 P1,-940.7500,./B3Mo6P1-5493_POSCARPOSCAR
./Si1B13-6825_POSCAR,B13 Si1,-1281.1260,./Si1B13-6825_POSCARPOSCAR
./Si4B2-6556_POSCAR,B2 Si4,-195.9300,./Si4B2-6556_POSCARPOSCAR
./Si2P8-7177_POSCAR,P8 Si2,-533.3100,./Si2P8-7177_POSCARPOSCAR
./Si6Mo3P6-1068_POSCAR,Mo3 P6 Si6,-1473.2250,./Si6Mo3P6-1068_POSCARPOSCAR
./Si3B3P6-3559_POSCAR,B3 P6 Si3,-810.2040,./Si3B3P6-3559_POSCARPOSCAR
./Si2P12-6656_POSCAR,P12 Si2,-1016.0220,./Si2P12-6656_POSCARPOSCAR
./Mo7P4-5458_POSCAR,Mo7 P4,-1119.9100,./Mo7P4-5458_POSCARPOSCAR
./Si6P5-2041_POSCAR,P5 Si6,-644.1050,./Si6P5-2041_POSCARPOSCAR
./Si4Mo1P5-7136_POSCAR,Mo1 P5 Si4,-592.2400,./Si4Mo1P5-7136_POSCARPOSCAR
./Si3B4Mo9-3480_POSCAR,B4 Mo9 Si3,-2299.8400,./Si3B4Mo9-3480_POSCARPOSCAR
./Mo4P8-2738_POSCAR,Mo4 P8,-1075.7520,./Mo4P8-2738_POSCARPOSCAR
./Si3B4Mo8-4395_POSCAR,B4 Mo8 Si3,-2005.3500,./Si3B4Mo8-4395_POSCARPOSCAR
./Si4B2P4-2748_POSCAR,B2 P4 Si4,-555.1700,./Si4B2P4-2748_POSCARPOSCAR
./B6P6-129_POSCAR,B6 P6,-888.2760,./B6P6-129_POSCARPOSCAR
./Si3Mo1P5-3692_POSCAR,Mo1 P5 Si3,-487.1880,./Si3Mo1P5-3692_POSCARPOSCAR
./B4Mo10P2-1142_POSCAR,B4 Mo10 P2,-2442.2400,./B4Mo10P2-1142_POSCARPOSCAR
./Si4Mo2P6-5383_POSCAR,Mo2 P6 Si4,-918.4680,./Si4Mo2P6-5383_POSCARPOSCAR
./B5Mo4-5534_POSCAR,B5 Mo4,-711.2880,./B5Mo4-5534_POSCARPOSCAR
./Si4P4-6380_POSCAR,P4 Si4,-332.0320,./Si4P4-6380_POSCARPOSCAR
./Si3Mo1P8-6269_POSCAR,Mo1 P8 Si3,-823.2720,./Si3Mo1P8-6269_POSCARPOSCAR
./Si2B6Mo12-1133_POSCAR,B6 Mo12 Si2,-3675.2000,./Si2B6Mo12-1133_POSCARPOSCAR
./Si3B5-2480_POSCAR,B5 Si3,-375.3520,./Si3B5-2480_POSCARPOSCAR
./Mo5P6-3872_POSCAR,Mo5 P6,-998.2060,./Mo5P6-3872_POSCARPOSCAR
./B5Mo12P3-6192_POSCAR,B5 Mo12 P3,-3670.2000,./B5Mo12P3-6192_POSCARPOSCAR
./Si3B6Mo5-2455_POSCAR,B6 Mo5 Si3,-1549.3800,./Si3B6Mo5-2455_POSCARPOSCAR
./B4-4589_POSCAR,B4,-99.8120,./B4-4589_POSCARPOSCAR
./Si7B5P8-6371_POSCAR,B5 P8 Si7,-2270.6000,./Si7B5P8-6371_POSCARPOSCAR
./B4-659_POSCAR,B4,-99.9240,./B4-659_POSCARPOSCAR
./Si2Mo2P1-2776_POSCAR,Mo2 P1 Si2,-194.4450,./Si2Mo2P1-2776_POSCARPOSCAR
./Mo3P11-4664_POSCAR,Mo3 P11,-1285.1720,./Mo3P11-4664_POSCARPOSCAR
./Mo2P3-1450_POSCAR,Mo2 P3,-194.2300,./Mo2P3-1450_POSCARPOSCAR
./Si4B3P5-5651_POSCAR,B3 P5 Si4,-834.4440,./Si4B3P5-5651_POSCARPOSCAR
./Mo8P12-1185_POSCAR,Mo8 P12,-3129.2000,./Mo8P12-1185_POSCARPOSCAR
./Si1Mo2P7-3910_POSCAR,Mo2 P7 Si1,-660.0800,./Si1Mo2P7-3910_POSCARPOSCAR
./Si7B9-5437_POSCAR,B9 Si7,-1469.3280,./Si7B9-5437_POSCARPOSCAR
./Mo4P16-3780_POSCAR,Mo4 P16,-2655.0000,./Mo4P16-3780_POSCARPOSCAR
./Si4B2P3-1509_POSCAR,B2 P3 Si4,-457.4160,./Si4B2P3-1509_POSCARPOSCAR
./Si4Mo4-707_POSCAR,Mo4 Si4,-540.5840,./Si4Mo4-707_POSCARPOSCAR
./B2Mo13-3166_POSCAR,B2 Mo13,-2288.5500,./B2Mo13-3166_POSCARPOSCAR
./Si2P2-156_POSCAR,P2 Si2,-84.6880,./Si2P2-156_POSCARPOSCAR
./Si1Mo2P1-159_POSCAR,Mo2 P1 Si1,-136.0800,./Si1Mo2P1-159_POSCARPOSCAR
./B2Mo6-2221_POSCAR,B2 Mo6,-618.4480,./B2Mo6-2221_POSCARPOSCAR
./B4Mo4P2-3045_POSCAR,B4 Mo4 P2,-832.7500,./B4Mo4P2-3045_POSCARPOSCAR
./B2Mo7P9-1718_POSCAR,B2 Mo7 P9,-2543.4000,./B2Mo7P9-1718_POSCARPOSCAR
./Si3Mo4P5-4735_POSCAR,Mo4 P5 Si3,-1082.5320,./Si3Mo4P5-4735_POSCARPOSCAR
./Si5Mo2P6-3111_POSCAR,Mo2 P6 Si5,-1042.8210,./Si5Mo2P6-3111_POSCARPOSCAR
./Si3Mo6P6-3188_POSCAR,Mo6 P6 Si3,-1762.0500,./Si3Mo6P6-3188_POSCARPOSCAR
./Si1B5Mo8P2-4508_POSCAR,B5 Mo8 P2 Si1,-2239.0400,./Si1B5Mo8P2-4508_POSCARPOSCAR
./Si5P1-7263_POSCAR,P1 Si5,-188.9220,./Si5P1-7263_POSCARPOSCAR
./Mo2P4-655_POSCAR,Mo2 P4,-264.1380,./Mo2P4-655_POSCARPOSCAR
./Si2Mo2P6-1515_POSCAR,Mo2 P6 Si2,-660.4200,./Si2Mo2P6-1515_POSCARPOSCAR
./B5Mo4P3-6822_POSCAR,B5 Mo4 P3,-1134.5400,./B5Mo4P3-6822_POSCARPOSCAR
./Mo3P4-3632_POSCAR,Mo3 P4,-391.3560,./Mo3P4-3632_POSCARPOSCAR
./Si2Mo1P7-3435_POSCAR,Mo1 P7 Si2,-589.5300,./Si2Mo1P7-3435_POSCARPOSCAR
./B4Mo5P3-2337_POSCAR,B4 Mo5 P3,-1194.7440,./B4Mo5P3-2337_POSCARPOSCAR
./Mo3P1-5178_POSCAR,Mo3 P1,-153.5360,./Mo3P1-5178_POSCARPOSCAR
./Si2B3-6409_POSCAR,B3 Si2,-144.0750,./Si2B3-6409_POSCARPOSCAR
./Si6Mo6-5932_POSCAR,Mo6 Si6,-1209.7200,./Si6Mo6-5932_POSCARPOSCAR
./Si5B5-2950_POSCAR,B5 Si5,-561.9600,./Si5B5-2950_POSCARPOSCAR
./Si4B4P4-174_POSCAR,B4 P4 Si4,-862.4520,./Si4B4P4-174_POSCARPOSCAR
./B2P4-3551_POSCAR,B2 P4,-207.7080,./B2P4-3551_POSCARPOSCAR
./Si3Mo2P3-2217_POSCAR,Mo2 P3 Si3,-438.5120,./Si3Mo2P3-2217_POSCARPOSCAR
./Si2Mo2P2-4265_POSCAR,Mo2 P2 Si2,-267.9720,./Si2Mo2P2-4265_POSCARPOSCAR
./Si5B2Mo7-1453_POSCAR,B2 Mo7 Si5,-1653.4000,./Si5B2Mo7-1453_POSCARPOSCAR
./Si7Mo4P5-5449_POSCAR,Mo4 P5 Si7,-1745.9200,./Si7Mo4P5-5449_POSCARPOSCAR
./B3Mo11P4-4749_POSCAR,B3 Mo11 P4,-2969.6400,./B3Mo11P4-4749_POSCARPOSCAR
./Si1B2Mo3-3317_POSCAR,B2 Mo3 Si1,-311.9280,./Si1B2Mo3-3317_POSCARPOSCAR
./Si7B5P6-7181_POSCAR,B5 P6 Si7,-1907.2800,./Si7B5P6-7181_POSCARPOSCAR
./Si2Mo2P5-4873_POSCAR,Mo2 P5 Si2,-537.7230,./Si2Mo2P5-4873_POSCARPOSCAR
./Si1-559_POSCAR,Si1,-5.1210,./Si1-559_POSCARPOSCAR
./Si3Mo2-5655_POSCAR,Mo2 Si3,-195.4200,./Si3Mo2-5655_POSCARPOSCAR
./B4Mo12-1939_POSCAR,B4 Mo12,-2548.6400,./B4Mo12-1939_POSCARPOSCAR
./Si8P8-144_POSCAR,P8 Si8,-1333.6000,./Si8P8-144_POSCARPOSCAR
./Si3Mo2P5-6633_POSCAR,Mo2 P5 Si3,-651.5700,./Si3Mo2P5-6633_POSCARPOSCAR
./Si2Mo6P2-973_POSCAR,Mo6 P2 Si2,-891.9200,./Si2Mo6P2-973_POSCARPOSCAR
./Si1B2Mo2P1-5841_POSCAR,B2 Mo2 P1 Si1,-281.3460,./Si1B2Mo2P1-5841_POSCARPOSCAR
./Mo5P9-6426_POSCAR,Mo5 P9,-1470.8400,./Mo5P9-6426_POSCARPOSCAR
./Si3B3P3-4678_POSCAR,B3 P3 Si3,-466.7310,./Si3B3P3-4678_POSCARPOSCAR
./Si4P7-5236_POSCAR,P7 Si4,-635.6790,./Si4P7-5236_POSCARPOSCAR
./Si11B5-3344_POSCAR,B5 Si11,-1423.9520,./Si11B5-3344_POSCARPOSCAR
./B3Mo5P2-6535_POSCAR,B3 Mo5 P2,-871.1700,./B3Mo5P2-6535_POSCARPOSCAR
./Si2B2Mo3-3541_POSCAR,B2 Mo3 Si2,-411.1660,./Si2B2Mo3-3541_POSCARPOSCAR
./Si6Mo5-6197_POSCAR,Mo5 Si6,-973.9180,./Si6Mo5-6197_POSCARPOSCAR
./Si5P6-2511_POSCAR,P6 Si5,-637.8240,./Si5P6-2511_POSCARPOSCAR
./Si5B4P5-974_POSCAR,B4 P5 Si5,-1108.9680,./Si5B4P5-974_POSCARPOSCAR
./Si5Mo3P4-1556_POSCAR,Mo3 P4 Si5,-969.9840,./Si5Mo3P4-1556_POSCARPOSCAR
./Si1Mo3P4-3483_POSCAR,Mo3 P4 Si1,-490.6320,./Si1Mo3P4-3483_POSCARPOSCAR
./Si1P5-678_POSCAR,P5 Si1,-190.3380,./Si1P5-678_POSCARPOSCAR
./B2Mo5P2-5473_POSCAR,B2 Mo5 P2,-730.7820,./B2Mo5P2-5473_POSCARPOSCAR
./Si4B3Mo5-1202_POSCAR,B3 Mo5 Si4,-1177.2000,./Si4B3Mo5-1202_POSCARPOSCAR
./Si2B3Mo3-6223_POSCAR,B3 Mo3 Si2,-517.0000,./Si2B3Mo3-6223_POSCARPOSCAR
./Si6-1949_POSCAR,Si6,-187.0860,./Si6-1949_POSCARPOSCAR
./Si3B4Mo11P2-1661_POSCAR,B4 Mo11 P2 Si3,-3547.8000,./Si3B4Mo11P2-1661_POSCARPOSCAR
./Si2B2Mo3-4306_POSCAR,B2 Mo3 Si2,-413.4060,./Si2B2Mo3-4306_POSCARPOSCAR
./Si2Mo2P2-4470_POSCAR,Mo2 P2 Si2,-268.2660,./Si2Mo2P2-4470_POSCARPOSCAR
./Mo1P3-451_POSCAR,Mo1 P3,-108.0000,./Mo1P3-451_POSCARPOSCAR
./Si5P5-4672_POSCAR,P5 Si5,-529.4900,./Si5P5-4672_POSCARPOSCAR
./Si1B1Mo2-4891_POSCAR,B1 Mo2 Si1,-139.2080,./Si1B1Mo2-4891_POSCARPOSCAR
./Si4Mo12-481_POSCAR,Mo12 Si4,-2455.8400,./Si4Mo12-481_POSCARPOSCAR
./Si6P4-2739_POSCAR,P4 Si6,-520.0500,./Si6P4-2739_POSCARPOSCAR
./B2Mo6P2-1444_POSCAR,B2 Mo6 P2,-933.0800,./B2Mo6P2-1444_POSCARPOSCAR
./Si9B3-2919_POSCAR,B3 Si9,-760.2840,./Si9B3-2919_POSCARPOSCAR
./Si4Mo8-1350_POSCAR,Mo8 Si4,-1325.2800,./Si4Mo8-1350_POSCARPOSCAR
./Si1P2-6416_POSCAR,P2 Si1,-45.4440,./Si1P2-6416_POSCARPOSCAR
./Si4B6-3688_POSCAR,B6 Si4,-569.8300,./Si4B6-3688_POSCARPOSCAR
./Si6B4Mo8-4440_POSCAR,B4 Mo8 Si6,-2679.8400,./Si6B4Mo8-4440_POSCARPOSCAR
./Si4Mo3P4-5953_POSCAR,Mo3 P4 Si4,-852.0930,./Si4Mo3P4-5953_POSCARPOSCAR
./Si3P3-5166_POSCAR,P3 Si3,-190.3020,./Si3P3-5166_POSCARPOSCAR
./Si5Mo2P5-5329_POSCAR,Mo2 P5 Si5,-913.5120,./Si5Mo2P5-5329_POSCARPOSCAR
./Si1B6Mo6P3-6008_POSCAR,B6 Mo6 P3 Si1,-2078.7200,./Si1B6Mo6P3-6008_POSCARPOSCAR
./Si3B2Mo3P2-5929_POSCAR,B2 Mo3 P2 Si3,-739.3400,./Si3B2Mo3P2-5929_POSCARPOSCAR
./Si1P3-5202_POSCAR,P3 Si1,-85.4480,./Si1P3-5202_POSCARPOSCAR
./Si5B2Mo1P4-6935_POSCAR,B2 Mo1 P4 Si5,-851.1000,./Si5B2Mo1P4-6935_POSCARPOSCAR
./Si1B1Mo2P1-2264_POSCAR,B1 Mo2 P1 Si1,-202.2800,./Si1B1Mo2P1-2264_POSCARPOSCAR
./Si2Mo2P6-3808_POSCAR,Mo2 P6 Si2,-649.9900,./Si2Mo2P6-3808_POSCARPOSCAR
./Si2B3P4-6147_POSCAR,B3 P4 Si2,-441.4860,./Si2B3P4-6147_POSCARPOSCAR
./Mo2P4-4617_POSCAR,Mo2 P4,-278.0880,./Mo2P4-4617_POSCARPOSCAR
./Si1B4Mo1-6664_POSCAR,B4 Mo1 Si1,-252.4260,./Si1B4Mo1-6664_POSCARPOSCAR
./P18-3860_POSCAR,P18,-1557.3960,./P18-3860_POSCARPOSCAR
./Mo3P6-6690_POSCAR,Mo3 P6,-602.2260,./Mo3P6-6690_POSCARPOSCAR
./Si6B3Mo9-4437_POSCAR,B3 Mo9 Si6,-2752.3800,./Si6B3Mo9-4437_POSCARPOSCAR
./Si3B6Mo2-2809_POSCAR,B6 Mo2 Si3,-846.3510,./Si3B6Mo2-2809_POSCARPOSCAR
./Si5Mo3-396_POSCAR,Mo3 Si5,-488.0720,./Si5Mo3-396_POSCARPOSCAR
./Si4B3Mo8-5540_POSCAR,B3 Mo8 Si4,-1959.7500,./Si4B3Mo8-5540_POSCARPOSCAR
./Si1Mo2P2-739_POSCAR,Mo2 P2 Si1,-192.3850,./Si1Mo2P2-739_POSCARPOSCAR
./B4Mo4P4-2988_POSCAR,B4 Mo4 P4,-1128.4560,./B4Mo4P4-2988_POSCARPOSCAR
./Si2B11-7257_POSCAR,B11 Si2,-1035.2290,./Si2B11-7257_POSCARPOSCAR
./Si2B2Mo3P2-1218_POSCAR,B2 Mo3 P2 Si2,-618.2910,./Si2B2Mo3P2-1218_POSCARPOSCAR
./Mo2P10-3922_POSCAR,Mo2 P10,-929.5680,./Mo2P10-3922_POSCARPOSCAR
./Si7Mo6-1052_POSCAR,Mo6 Si7,-1366.0400,./Si7Mo6-1052_POSCARPOSCAR
./Si5B5Mo6-2078_POSCAR,B5 Mo6 Si5,-2045.1200,./Si5B5Mo6-2078_POSCARPOSCAR
./Si2P2-8_POSCAR,P2 Si2,-85.3320,./Si2P2-8_POSCARPOSCAR
./B8P4-477_POSCAR,B8 P4,-900.3000,./B8P4-477_POSCARPOSCAR
./Si2Mo1P9-1814_POSCAR,Mo1 P9 Si2,-845.5080,./Si2Mo1P9-1814_POSCARPOSCAR
./Si2Mo2P4-3276_POSCAR,Mo2 P4 Si2,-430.3920,./Si2Mo2P4-3276_POSCARPOSCAR
./B4Mo4-6914_POSCAR,B4 Mo4,-577.1120,./B4Mo4-6914_POSCARPOSCAR
./Si2Mo2P2-4179_POSCAR,Mo2 P2 Si2,-273.1260,./Si2Mo2P2-4179_POSCARPOSCAR
./Si7B3-6230_POSCAR,B3 Si7,-552.2800,./Si7B3-6230_POSCARPOSCAR
./Mo4P6-2293_POSCAR,Mo4 P6,-785.0600,./Mo4P6-2293_POSCARPOSCAR
./Si2Mo2-1730_POSCAR,Mo2 Si2,-131.0240,./Si2Mo2-1730_POSCARPOSCAR
./B2Mo1P1-6886_POSCAR,B2 Mo1 P1,-118.6480,./B2Mo1P1-6886_POSCARPOSCAR
./Si3Mo1-6014_POSCAR,Mo1 Si3,-108.4560,./Si3Mo1-6014_POSCARPOSCAR
./Si8P4-531_POSCAR,P4 Si8,-764.1960,./Si8P4-531_POSCARPOSCAR
./Si8Mo6P4-650_POSCAR,Mo6 P4 Si8,-2360.8800,./Si8Mo6P4-650_POSCARPOSCAR
./Si2B2Mo4P2-5608_POSCAR,B2 Mo4 P2 Si2,-804.2800,./Si2B2Mo4P2-5608_POSCARPOSCAR
./Mo2P10-4788_POSCAR,Mo2 P10,-935.3520,./Mo2P10-4788_POSCARPOSCAR
./B2Mo7P3-3274_POSCAR,B2 Mo7 P3,-1305.3600,./B2Mo7P3-3274_POSCARPOSCAR
./Si2Mo2P3-3547_POSCAR,Mo2 P3 Si2,-351.0780,./Si2Mo2P3-3547_POSCARPOSCAR
./Si4B2P4-7148_POSCAR,B2 P4 Si4,-567.0800,./Si4B2P4-7148_POSCARPOSCAR
./Si5B4Mo9-3737_POSCAR,B4 Mo9 Si5,-2767.5000,./Si5B4Mo9-3737_POSCARPOSCAR
./Si1B4Mo4-6738_POSCAR,B4 Mo4 Si1,-697.2300,./Si1B4Mo4-6738_POSCARPOSCAR
./B2Mo13P3-744_POSCAR,B2 Mo13 P3,-3107.5200,./B2Mo13P3-744_POSCARPOSCAR
./B2Mo5P5-4244_POSCAR,B2 Mo5 P5,-1165.7280,./B2Mo5P5-4244_POSCARPOSCAR
./Si4Mo2P4-4467_POSCAR,Mo2 P4 Si4,-647.5000,./Si4Mo2P4-4467_POSCARPOSCAR
./Si6Mo4-2119_POSCAR,Mo4 Si6,-792.8700,./Si6Mo4-2119_POSCARPOSCAR
./P6-2643_POSCAR,P6,-192.5520,./P6-2643_POSCARPOSCAR
./Mo8P6-3970_POSCAR,Mo8 P6,-1733.7600,./Mo8P6-3970_POSCARPOSCAR
./B3Mo7-4028_POSCAR,B3 Mo7,-968.7000,./B3Mo7-4028_POSCARPOSCAR
./Si2B1Mo5P2-3489_POSCAR,B1 Mo5 P2 Si2,-839.3700,./Si2B1Mo5P2-3489_POSCARPOSCAR
./Mo3P3-248_POSCAR,Mo3 P3,-303.9840,./Mo3P3-248_POSCARPOSCAR
./Si3B2-6864_POSCAR,B2 Si3,-136.9850,./Si3B2-6864_POSCARPOSCAR
./Si3Mo9P5-1023_POSCAR,Mo9 P5 Si3,-2467.7200,./Si3Mo9P5-1023_POSCARPOSCAR
./Si3Mo2P3-5328_POSCAR,Mo2 P3 Si3,-434.3760,./Si3Mo2P3-5328_POSCARPOSCAR
./B3Mo3P2-3640_POSCAR,B3 Mo3 P2,-519.0240,./B3Mo3P2-3640_POSCARPOSCAR
./Si1Mo7P8-6117_POSCAR,Mo7 P8 Si1,-2072.4800,./Si1Mo7P8-6117_POSCARPOSCAR
./Si1P2-6026_POSCAR,P2 Si1,-45.6210,./Si1P2-6026_POSCARPOSCAR
./Si4P3-4035_POSCAR,P3 Si4,-263.8860,./Si4P3-4035_POSCARPOSCAR
./Mo4P4-4843_POSCAR,Mo4 P4,-553.7920,./Mo4P4-4843_POSCARPOSCAR
./Si5P2-1265_POSCAR,P2 Si5,-258.2510,./Si5P2-1265_POSCARPOSCAR
./Si7Mo4-2352_POSCAR,Mo4 Si7,-918.3570,./Si7Mo4-2352_POSCARPOSCAR
./B4Mo8P3-1704_POSCAR,B4 Mo8 P3,-2008.9500,./B4Mo8P3-1704_POSCARPOSCAR
