id,composition,e_total
0,B2Mo,
1,SiBMo2,
2,SiB2Mo5,
3,SiB3Mo4,
4,Si2B4Mo3,
5,Si(BMo)2,
6,Si(B2Mo)3,
7,BMo,
8,Si5(BMo)2,
9,SiBMo,
10,Si4BMo2,
11,Si3(BMo2)2,
12,BMo,
13,B2Mo3,
14,B2Mo,
15,SiB2Mo5,
16,BMo,
17,Si(BMo)2,
18,SiBMo,
19,SiBMo,
20,SiB2Mo,
21,Si5BMo2,
22,Si2(BMo)3,
23,SiBMo2,
24,SiB3Mo4,
25,B3Mo2,
26,Si2B3Mo2,
27,Si2BMo2,
28,Si3B5Mo4,
29,Si(BMo)2,
30,Si4B7Mo9,
31,Si3(BMo)4,
32,SiB2Mo,
33,B2Mo,
34,BMo,
35,SiBMo2,
36,Si(BMo)2,
37,Si(BMo)4,
38,B2Mo,
39,B2Mo,
40,BMo,
41,Si5BMo2,
42,Si(BMo)2,
43,SiBMo,
44,BMo,
45,Si(BMo)2,
46,Si(BMo)5,
47,Si3B5Mo4,
48,SiBMo,
49,Si(BMo)2,
50,Si2B2Mo3,
51,BMo,
52,SiB3Mo,
53,SiB2Mo,
54,SiBMo2,
55,SiBMo2,
56,Si4B2Mo3,
57,SiB2Mo,
58,Si3B3Mo10,
59,SiBMo,
60,BMo,
61,B2Mo,
62,Si3B3Mo4,
63,SiB3Mo2,
64,SiBMo2,
65,SiB2Mo5,
66,Si(BMo)6,
67,Si7B3Mo8,
68,Si3B4Mo3,
69,Si7B5Mo8,
70,SiBMo,
71,Si(BMo)2,
72,Si3BMo2,
73,SiBMo,
74,B2Mo,
75,SiBMo,
76,B3Mo,
77,Si(BMo)5,
78,Si(BMo)2,
79,Si3(B2Mo)2,
80,Si5B3Mo2,
81,SiB2Mo,
82,Si3BMo2,
83,SiBMo,
84,Si3B4Mo5,
85,SiBMo2,
86,Si(BMo)2,
87,SiBMo,
88,B2Mo3,
89,SiBMo,
90,SiBMo2,
91,SiB3Mo4,
92,SiB3Mo4,
93,Si5B3Mo4,
94,SiBMo2,
95,Si2B4Mo3,
96,SiBMo3,
97,B2Mo,
98,Si(BMo)2,
99,Si(BMo)2,
