id,composition,e_total
7241,FeNi3,-25.36415352
7505,Fe,-8.14644595
8100,Al,-3.74495068
8568,Fe,-8.3078978
10460,AlFe2,-41.37505117999998
10461,AlFe3,-29.47163833
10464,AlFe2Ni,-26.32282755
10516,AlNi,-10.65111857
10517,Al3Ni,-73.78357909
10518,Al3Ni5,-43.66076661
10519,Al4Ni3,-289.01840235999975
17225,FeNi,-14.01211017
17890,AlNi3,-22.20019048
18699,Al3Ni2,-25.4649635
18711,AlNi3,-22.17537768
19338,Al6Fe,-64.32506818999997
20929,AlFe,-12.71698008
21053,Fe,-227.7065556400001
21530,Al8Fe5,-150.3374444
21731,Fe,-22.64398743999999
22514,Fe,-8.30754271
22516,Ni,-5.47582222
27782,Al6Fe,-64.32554446000005
27783,Al9Fe2,-105.93662434999996
27902,AlNi3,-22.01046778
30158,Fe,-16.44053474
30230,FeNi,-14.01210465
51781,Fe,-16.44296808
54708,AlFe,-12.71714861
94913,AlNi,-10.65125169
94919,AlNi,-10.65074897
110794,AlFe,-12.71689881
110795,AlFe,-12.71689104
297529,Al3Ni,-17.69382279
297859,Al3Fe,-20.24511205
297990,FeNi3,-25.29324805
298875,AlNi3,-22.0908084
301128,AlFe3,-29.35632838
301533,Fe3Ni,-30.32696942
304487,AlNi,-10.65092232
304642,AlFe,-12.71715251
306449,FeNi,-13.71825449
308055,Al3Ni,-17.16147248
308390,Al3Fe,-19.63066797
308521,FeNi3,-24.94196032
311670,AlFe3,-29.46914394
312075,Fe3Ni,-30.37731498
318597,AlNi3,-44.32302897
318932,AlFe3,-58.81268018
319063,Fe3Ni,-60.2235487
319958,Al3Ni,-35.29170226
322212,Al3Fe,-40.36124638
322617,FeNi3,-50.64856449
325571,AlNi,-10.1620158
325726,AlFe,-12.368682
327533,FeNi,-13.87220468
336029,AlNi,-10.58477176
336184,AlFe,-12.66918002
337991,FeNi,-13.92660222
343418,AlFe3,-29.47114555
343549,Fe3Ni,-30.30342334
344444,Al3Ni,-17.69271001
346698,Al3Fe,-20.00391505
425550,Al2Fe3,-61.80072091
425572,Al2Ni3,-49.40500824
427042,Fe2Ni3,-62.759340269999996
676638,FeNi,-28.00620595
715845,AlFeNi2,-24.29093574
716702,AlFe2Ni,-27.07031118
732472,AlFeNi2,-24.27401827
733691,AlFe2Ni,-27.08887085
734116,AlFeNi2,-24.29192002
942454,AlFeNi,-16.825629680000013
956376,AlFeNi,-17.165552829999992
959050,AlFeNi,-17.81987136
1012816,Al2FeNi,-23.48868615
1013889,Al2FeNi,-140.31164267999998
1014362,Al2FeNi,-140.2953273
1016796,Al2FeNi,-23.53289444
1017874,Al2FeNi,-93.53517396
1018367,Al2FeNi,-88.24473082
1112639,Al2FeNi,-22.03817561
1116172,Al2FeNi,-22.0387207
1214550,Ni,-5.56661952
1215351,Ni,-11.08859583
1236413,FeNi2,-24.830043310000022
1236414,Fe2Ni,-30.426997200000002
1239580,AlNi2,-18.20850679999998
1239581,Al2Ni,-21.75387316000002
1239779,Al2Fe,-23.084180009999997
1243151,FeNi,-25.53604277
1243152,FeNi,-25.94265726
1280360,Ni,-43.41324459
1280406,Al,-29.3360474
1338557,Al8Fe3,-114.53260622000002
1338634,Al2Fe,-133.62712756
1338853,AlFe,-50.86758822
1339316,Al5Fe3,-90.02560251
1339513,Al3Ni,-146.28785069
1339993,Al8Ni,-36.59915690000001
1340108,Al2Fe,-168.7867397600001
1340304,Al7Ni,-65.4609674
1340841,Al4Ni,-257.53738824
1375992,FeNi8,-53.28379784
1376945,Al2Fe,-16.8793437
1416025,Al2Fe,-15.889618420000001
1416026,AlFe2,-19.11342049
1435929,Fe2Ni,-43.59975228
1466726,AlFeNi,-52.69591819
1467202,AlFeNi,-54.1022475
1467653,AlFeNi,-55.12232272
1468087,AlFeNi,-74.45867909
1468521,AlFeNi,-36.89340042
1469082,AlFeNi,-36.28470207
1469567,AlFeNi,-37.126824
1470013,AlFeNi,-37.12663423
1477121,Al,-47.35078232
1483792,Al12Fe,-54.45771579000001
1484311,Al11Ni2,-51.9670547
1484314,Al11Ni2,-52.05507083
1484315,Al9Ni4,-57.53556349
1484320,Al11Ni2,-50.91172611
1484321,Al9Ni4,-55.86345600999999
1484322,Al9Ni4,-55.35916211
1484323,Al7Ni6,-61.25323976000001
1484332,Al7Ni6,-65.81856557
1484333,Al5Ni8,-67.02067579
1484334,Al5Ni8,-68.08308969
1484335,Al3Ni10,-68.60809421
1484336,Al5Ni8,-68.50235317
1484337,Al3Ni10,-69.41228064
1484338,Al3Ni10,-69.56938875
1484339,AlNi12,-70.11401671
1484446,Al12Ni,-50.5410443
1484447,Al10Ni3,-54.93017551
1484448,Al10Ni3,-55.23585532
1484449,Al8Ni5,-61.08598370000001
1484450,Al10Ni3,-55.13546076
1484451,Al8Ni5,-59.69688984
1484452,Al8Ni5,-59.21292429999999
1484453,Al6Ni7,-64.33334356
1484470,Al6Ni7,-66.6252615
1484471,Al4Ni9,-68.07666068
1484472,Al4Ni9,-68.98692612
1484473,Al2Ni11,-69.76984204
1484482,Al4Ni9,-68.35253029
1484483,Al2Ni11,-69.48926576
1484488,Al2Ni11,-69.54521508
1484491,Ni,-70.26028114
1484910,AlNi3,-22.09250031
1484964,Al3Ni,-17.69314455
1484969,AlNi,-10.64944282
1484990,Al3Ni,-17.69343605
1484992,AlNi,-10.64957917
1485019,Al,-3.74480531
1485065,Ni,-5.56776303
1485090,AlNi3,-22.09251935
1485118,Ni,-32.05180706
1485144,Al,-21.50329835
1485200,AlNi2,-31.41055025
1485201,Al2Ni,-25.10220414
1485286,Ni,-64.41242233
1485303,AlNi,-60.94233123000001
1485308,AlNi5,-64.25186757
1485329,AlNi,-61.7553627
1485398,AlNi2,-62.97045124
1485425,AlNi,-59.12841470000001
1485503,AlNi2,-62.76990964
1485526,AlNi2,-62.86492348
1485543,Al5Ni,-49.88500970999999
1485577,AlNi,-58.834694889999994
1485619,Al,-43.17945524
1485660,AlNi5,-64.18866951
1485663,Al2Ni,-56.57000613
1485675,Al2Ni,-50.6340394
1485700,Al2Ni,-56.5671612
1485803,Al5Ni,-49.90855683000001
1487142,Al,-86.18644106
1487354,Al3Ni,-103.78578247
1487357,Al5Ni,-99.60044267
1487358,Al7Ni5,-113.3807301
1487363,Al3Ni,-103.79704425
1487364,AlNi,-123.15072309000001
1487365,Al7Ni5,-113.37340575000002
1487366,AlNi2,-126.14409813
1487375,Al5Ni,-93.23802421
1487376,Al7Ni5,-109.82257579999998
1487377,Al2Ni,-108.33714784
1487378,Al5Ni7,-117.89251235
1487379,Al7Ni5,-110.58916303
1487380,AlNi2,-126.40619637999998
1487381,Al5Ni7,-118.78595795000001
1487382,AlNi5,-128.67123413
1487489,Al5Ni,-92.89200741
1487490,Al7Ni5,-111.08269716999999
1487491,Al2Ni,-108.42362365
1487492,Al5Ni7,-119.17154605000002
1487493,Al7Ni5,-109.53097553
1487494,AlNi2,-126.20648782
1487495,Al5Ni7,-117.66800218
1487496,AlNi5,-128.72146951
1487513,Al2Ni,-100.69012569
1487514,Al5Ni7,-115.64447544
1487515,AlNi,-117.55741163
1487516,AlNi3,-121.9110289
1487525,Al5Ni7,-114.96850315999998
1487526,AlNi5,-128.19595277
1487531,AlNi3,-121.52687204999998
1487534,Ni,-128.48570931
1489260,Al,-110.44529456
1515462,Al11Ni4,-129.00131311
1515466,Al7Ni8,-154.27883339
1515473,Al3Ni2,-139.20022592
1515474,AlNi2,-158.83144279
1515484,Al7Ni8,-151.62656766
1515485,Al7Ni8,-151.11311913
1515486,AlNi4,-161.0718621
1515488,AlNi2,-161.00328121
1515489,AlNi2,-156.81756236
1515490,AlNi14,-163.58735235
1515597,Al14Ni,-116.38728707
1515598,Al2Ni,-136.63948127
1515599,Al2Ni,-139.69313249
1515600,Al2Ni3,-159.14129775
1515601,Al4Ni,-125.62286115
1515602,Al8Ni7,-146.91064296
1515603,Al8Ni7,-146.26907687
1515621,Al2Ni,-140.32253151
